ID,Type,Subtype,Datetime,Amount,Amount currency,Value,Value currency,Rate,Rate currency
475166337 ,Market, Buy ,2025-11-02T17:52:48Z,0.04500000,BTC,2812.50,EUR,62500,EUR
475166338,Market,sell,2025-11-02T18:10:30Z,0.01500000,btc,1005.00,EUR,67000,EUR
475166339,Market,SELL,2025-11-03T09:15:10Z,0.03000000,BTC,1872.00,EUR,62400,EUR
475166340,Market, Buy,2025-11-03T10:22:28Z,0.04980000,BTC,3123.75,EUR,62725,EUR
475166340,Market,Buy,2025-11-03T10:22:28Z,0.04980000,BTC,3123.75,EUR,62725,EUR
475166341,Market,Sell,2025-11-04T14:11:19Z,0.01875000,BTC,1200.00,eur,64000,EUR
475166342,Market,Sell ,2025-11-05T16:02:56Z,0.01000000,BTC,680.00,EUR,68000,EUR
475166343,Market,buy,2025-11-06T09:45:00Z,,BTC,,EUR,,EUR
475166344,market,Buy,2025-11-07T17:00:10Z,0.02000000,BTC,1312.00,EUR,65600,EUR
475166345,Market,Buy,2025-11-08T11:13:44Z,0.03520000,BTC,2214.40,EUR,62900,EUR
475166347,Market,Sell,2025-11-10T10:21:12Z,0.04000000,BTC,2556.00,EUR,63900,EUR
