id_venta,date,product_id,amount,discount_pct
V001,2026-05-01,P001,3,0
V002,2026-05-02,P005,6,10
V003,2026-05-02,P009,10,0
V004,2026-05-03,P003,4,0
V005,2026-05-04,P005,8,15
V006,2026-05-05,P001,2,0
V007,2026-05-06,P012,3,0
V008,2026-05-07,P005,7,10
V009,2026-05-08,P002,5,0
V010,2026-05-09,P006,2,0
V011,2026-05-09,P005,9,20
V012,2026-05-10,P004,3,0
V013,2026-05-11,P009,15,0
V014,2026-05-12,P005,5,10
V015,2026-05-13,P011,4,0
V016,2026-05-14,P001,3,0
V017,2026-05-15,P005,10,15
V018,2026-05-16,P007,6,0
V019,2026-05-17,P012,2,0
V020,2026-05-18,P003,5,0
